age,wc,edu,ms,occ,rel,race,sex,hpw,waob,incc
42,3,12,2,14,1,5,2,40,7,1
41,1,19,4,25,1,5,1,32,1,1
50,1,20,2,18,1,5,2,5,1,1
42,5,20,1,4,1,3,1,40,1,2
30,1,16,1,23,1,5,2,15,1,1
39,1,16,1,18,1,5,2,40,1,1
29,1,16,5,2,1,5,1,40,1,1
38,1,16,1,18,2,5,2,40,1,2
42,1,18,3,2,1,5,2,12,4,1
22,1,18,1,21,3,5,2,40,1,1
23,1,18,1,3,2,4,1,40,1,2
12,1,16,5,16,14,4,1,29,1,1
47,1,19,1,25,1,5,1,18,1,1
28,2,24,1,15,1,5,2,20,1,1
4,3,19,5,20,18,5,2,20,1,1
19,1,20,5,19,6,5,1,37,1,1
38,1,18,1,23,1,5,1,40,3,1
14,1,16,1,25,2,3,1,40,1,1
41,2,21,1,4,1,5,1,43,1,1
1,1,14,5,6,3,5,2,12,1,1
27,1,22,1,16,1,5,1,50,1,2
14,1,19,5,7,5,5,2,35,1,1
24,6,19,5,5,1,5,1,55,1,1
36,7,23,1,15,2,5,1,50,1,2
38,1,19,1,7,2,5,1,38,1,1
29,1,11,1,6,1,5,2,24,1,1
17,1,22,5,3,1,5,1,45,1,2
17,1,22,1,12,2,5,2,30,1,2
29,1,19,1,18,1,5,2,40,1,1
6,1,19,5,16,14,5,1,40,1,1
32,2,23,1,15,1,5,2,36,3,2
64,1,21,1,18,2,5,2,24,1,1
27,1,21,5,22,1,5,1,40,1,1
2,1,11,5,23,3,5,2,15,1,1
18,1,21,1,16,1,5,1,50,1,1
18,1,21,5,3,1,5,1,40,1,1
26,4,16,1,18,1,5,2,37,1,1
18,3,19,1,21,1,5,1,50,1,1
54,3,21,3,21,1,5,1,35,1,1
21,6,21,1,20,1,3,2,40,1,1
54,3,24,1,7,2,5,1,45,1,1
34,1,20,1,23,1,5,2,40,2,1
52,2,22,5,9,1,5,1,6,1,1
24,1,16,5,2,12,5,1,40,3,2
49,1,21,1,16,1,5,1,4,1,1
35,1,16,1,6,1,5,1,40,1,1
42,1,22,3,4,1,5,1,40,1,1
5,1,19,5,23,16,5,2,38,1,1
36,4,19,1,4,2,3,1,30,1,1
31,4,20,1,15,2,5,2,50,1,2
17,1,21,5,3,1,2,1,40,4,2
2,1,18,5,6,18,5,1,30,1,1
8,1,16,1,6,1,4,2,20,1,1
28,1,16,1,18,2,3,1,48,1,1
43,1,22,5,18,1,5,1,42,1,2
27,1,19,1,22,2,3,1,40,1,2
8,1,16,5,19,3,5,1,40,1,1
28,1,19,5,2,18,4,1,30,1,1
47,2,23,1,15,2,2,2,45,6,2
28,2,20,1,15,1,5,2,24,1,1
13,3,19,3,18,3,5,2,40,2,1
12,4,22,5,7,1,5,2,40,1,1
15,1,19,3,23,1,4,2,40,1,1
20,1,13,5,5,1,5,1,40,1,1
12,5,17,5,18,1,5,1,40,1,1
12,1,19,5,5,1,3,1,40,1,1
31,1,19,1,25,2,5,1,42,5,1
26,1,21,1,15,2,5,2,16,1,1
37,1,20,1,24,2,5,1,50,1,1
13,3,21,1,21,2,5,1,40,1,2
13,1,20,5,3,1,5,1,40,1,1
9,1,21,5,3,8,5,1,60,1,2
16,1,22,1,3,2,2,2,40,4,2
30,1,19,3,18,1,5,2,30,1,1
7,1,21,5,8,13,5,1,40,4,2
18,3,15,5,2,3,5,1,15,1,1
1,1,13,5,25,3,5,1,40,1,1
34,1,22,1,16,2,5,2,60,1,2
27,1,16,1,5,1,3,1,35,1,2
28,1,16,4,19,1,5,1,41,1,1
38,1,19,3,2,1,5,2,40,1,1
13,5,19,5,18,3,3,1,40,1,1
3,2,18,5,9,18,5,2,26,1,1
58,3,19,2,7,1,5,2,40,1,1
26,1,19,5,16,3,5,2,49,1,1
16,4,22,5,7,13,5,1,40,1,2
34,3,21,1,16,2,3,2,37,1,1
28,2,24,5,7,1,5,1,40,5,2
40,2,21,1,15,2,5,2,40,1,2
31,1,21,1,16,1,5,1,42,1,2
4,1,16,5,23,3,5,2,20,4,1
24,1,21,1,16,2,5,1,50,1,2
40,1,19,1,19,1,5,1,45,1,2
32,7,21,1,16,1,5,1,50,8,1
11,1,15,1,22,10,5,1,40,3,1
23,1,19,5,2,3,4,1,40,1,1
13,1,20,1,1,1,3,1,40,1,2
17,1,16,1,19,1,4,1,40,3,1
4,1,18,5,23,3,5,1,20,1,1
38,3,24,1,25,1,3,1,40,1,2
19,1,18,5,22,1,5,1,40,1,1
4,1,19,5,6,18,5,2,12,1,1
42,1,22,2,15,1,5,2,20,1,1
48,1,16,1,11,2,5,1,55,1,1
5,1,19,5,18,14,5,1,25,1,1
31,1,21,1,23,2,2,2,50,4,2
34,3,22,3,21,1,5,2,40,1,2
46,4,24,2,7,1,5,2,40,1,2
53,2,24,1,7,2,5,1,50,1,2
53,1,17,2,23,1,5,2,15,1,1
7,1,19,5,10,14,4,1,60,3,1
38,1,21,3,16,1,5,2,50,1,2
36,2,21,1,15,2,5,2,36,1,2
16,1,16,5,18,3,3,1,32,1,1
23,1,16,3,6,1,4,2,12,3,1
27,1,16,3,16,7,5,2,40,3,2
32,4,16,1,2,2,5,1,50,1,1
27,1,17,1,18,1,5,1,40,1,1
29,1,19,1,21,2,5,1,40,3,1
39,1,19,1,15,2,5,1,40,1,2
6,1,19,5,21,3,5,1,12,1,1
14,3,20,5,21,1,5,1,50,1,2
29,4,21,1,8,1,5,1,38,1,2
45,3,22,1,7,2,5,2,50,1,2
23,1,18,1,18,1,5,2,35,1,2
30,1,12,1,22,2,5,1,55,5,1
15,2,19,5,20,3,5,2,30,1,1
50,5,16,1,25,1,3,1,40,1,2
10,1,15,5,6,3,5,2,3,1,1
3,1,17,5,6,3,5,2,20,1,1
12,1,22,1,13,2,2,2,15,4,1
23,3,22,1,7,1,5,2,50,1,1
19,3,21,5,18,3,4,2,44,1,1
28,1,22,3,16,1,5,2,40,1,2
41,2,18,3,18,1,5,2,50,1,1
48,1,6,3,13,1,3,2,40,1,1
15,1,19,1,5,2,5,1,84,1,2
8,1,19,5,18,13,5,1,50,1,1
24,3,19,5,7,1,5,2,40,1,1
7,2,21,5,4,3,4,1,50,1,1
44,5,21,1,16,2,5,1,40,1,2
25,5,19,1,5,1,5,1,40,1,2
39,1,19,1,15,1,5,1,40,1,1
45,4,24,3,16,1,5,2,40,1,2
21,1,18,1,23,2,5,2,15,1,2
23,1,19,1,2,1,5,1,50,1,1
6,1,18,1,10,1,5,1,50,1,1
10,1,11,1,5,2,5,1,50,1,2
27,3,16,1,7,2,5,2,40,1,1
63,4,19,1,18,2,5,2,40,1,1
33,1,21,1,12,1,5,2,45,1,1
10,1,21,5,15,14,5,2,36,1,1
25,1,21,1,16,1,5,2,40,1,2
4,1,18,5,18,4,5,1,40,1,1
19,1,16,1,16,1,5,1,50,3,2
31,6,22,1,5,1,2,1,30,4,1
35,1,20,1,23,1,5,2,40,1,1
29,1,16,1,18,1,5,2,40,1,1
19,1,16,5,23,3,5,2,40,1,1
43,7,15,1,25,1,5,1,25,3,1
41,1,16,1,5,2,5,1,50,1,1
19,1,17,5,6,17,4,2,40,1,1
22,1,15,1,5,2,4,1,40,3,1
17,1,20,3,18,1,3,2,40,5,1
14,1,19,1,23,2,5,1,50,1,1
18,1,21,1,12,1,5,2,24,1,1
36,1,15,1,5,1,5,1,40,1,1
38,1,18,5,23,1,5,2,40,1,1
33,3,19,1,7,2,5,2,42,1,1
7,1,21,5,6,3,5,2,10,1,1
60,7,18,1,16,2,5,2,30,1,2
20,1,20,1,18,1,5,2,40,1,1
40,1,19,3,18,1,5,2,40,1,1
42,3,22,3,7,1,5,2,65,1,2
59,3,22,1,7,2,5,2,18,1,1
46,5,20,1,23,1,2,1,24,4,1
20,1,18,1,22,1,5,1,35,2,1
23,1,16,3,23,11,5,2,40,1,1
22,1,16,5,18,5,2,1,24,4,1
24,1,19,1,18,1,5,1,40,1,1
39,1,19,3,12,14,5,2,40,1,1
54,6,19,1,19,2,5,2,10,1,1
34,1,23,1,14,1,5,2,37,1,1
43,1,22,1,2,1,5,1,35,1,1
13,3,21,5,7,1,3,2,50,1,1
40,1,21,1,3,1,5,1,45,1,2
22,1,21,1,16,2,5,1,70,1,2
29,1,16,3,19,1,5,2,40,1,1
7,1,16,5,6,1,5,2,50,1,1
56,1,16,2,23,1,5,2,35,1,1
20,7,16,1,16,2,5,2,65,1,2
3,1,18,5,2,18,5,1,30,1,1
33,1,14,1,13,1,4,2,30,3,1
32,1,21,5,16,1,5,1,40,2,1
14,1,16,4,16,14,5,1,45,1,1
21,1,20,1,1,1,5,2,55,1,1
36,3,16,1,25,1,5,2,40,1,1
31,1,16,1,18,1,5,2,20,3,1
39,1,16,1,25,1,3,1,40,1,1
23,2,22,3,16,1,5,1,45,1,1
28,1,21,1,2,1,5,1,40,3,1
2,8,16,5,6,8,5,2,40,1,1
24,3,21,5,18,3,3,2,35,3,1
9,1,20,5,23,16,5,1,30,1,1
36,1,24,1,3,1,5,1,40,1,2
11,1,21,5,18,1,5,1,30,1,1
17,1,20,1,15,2,5,1,40,1,1
24,1,18,1,18,13,5,2,40,1,1
8,1,21,5,6,3,5,2,30,1,1
27,5,21,5,8,13,5,2,40,1,2
36,1,22,1,16,1,5,1,50,1,2
12,1,21,5,18,3,3,1,40,1,1
1,1,14,5,25,3,5,1,5,3,1
25,1,22,1,16,1,5,1,55,1,2
41,1,19,3,23,1,5,1,40,1,2
14,4,21,5,15,3,5,2,38,1,1
45,1,21,1,14,1,5,1,38,1,2
34,1,21,1,19,1,5,1,43,7,2
35,1,16,1,25,2,5,2,40,1,1
1,1,14,5,6,5,5,2,30,1,1
49,5,19,3,5,1,1,2,8,1,1
28,1,16,1,16,1,5,2,70,1,2
24,1,21,3,8,1,5,1,40,1,2
26,1,21,3,16,1,3,2,40,1,2
4,3,19,5,3,13,2,2,10,1,1
15,6,21,1,3,1,5,2,65,1,1
24,1,16,5,18,14,4,1,40,1,1
33,1,18,3,6,11,3,1,40,1,1
39,1,16,1,6,2,5,1,40,1,1
36,1,8,1,2,13,5,2,40,3,1
2,1,16,5,6,3,5,1,20,1,1
46,4,21,2,7,1,5,2,60,1,2
6,1,20,5,15,3,3,2,20,1,1
29,1,18,3,5,1,5,1,37,1,1
38,1,21,5,23,1,3,2,50,1,1
36,1,19,1,23,2,5,1,40,1,1
28,1,16,1,22,1,5,1,40,1,2
3,1,17,5,23,3,3,1,20,1,1
12,6,21,5,19,1,5,2,50,1,1
22,4,21,1,7,2,5,2,48,1,1
56,1,16,1,6,2,5,1,14,1,1
10,2,19,5,20,8,3,2,6,1,1
37,1,20,1,5,1,5,1,40,1,1
44,1,19,1,13,1,3,2,78,3,1
38,1,16,4,25,11,5,1,40,1,1
6,1,19,5,18,5,5,2,40,1,1
53,1,16,1,25,1,5,1,25,1,1
5,1,19,5,23,3,5,2,20,1,1
47,1,1,1,16,1,5,2,40,1,1
34,1,8,1,25,1,5,1,43,1,1
35,1,16,1,19,1,5,1,50,1,2
34,1,19,1,1,1,5,2,50,1,2
35,1,16,1,18,7,3,2,40,1,1
41,1,19,1,18,2,3,2,40,1,1
22,1,14,1,6,2,5,2,30,3,1
47,2,22,3,3,1,5,1,40,1,2
14,5,21,5,7,3,1,2,40,1,1
28,1,16,1,25,1,5,1,40,1,2
1,3,14,5,18,3,3,2,20,1,1
3,1,18,5,16,13,3,1,30,1,1
3,4,19,5,13,18,5,2,24,1,1
32,3,21,1,7,2,5,2,40,1,1
41,1,19,1,16,1,5,1,60,1,2
18,1,15,5,25,1,5,1,60,3,1
26,1,17,3,5,1,5,1,40,1,2
18,5,19,1,19,1,5,1,40,2,2
34,1,16,1,19,1,5,1,40,1,2
33,1,16,1,25,2,5,1,50,5,2
36,1,16,5,25,1,5,1,40,5,2
47,2,19,1,4,2,5,1,25,1,1
4,1,16,5,5,3,5,1,40,1,1
41,1,19,1,14,1,5,2,33,1,1
34,1,17,5,7,1,5,2,35,5,2
5,1,19,5,23,14,5,2,23,1,1
34,1,9,5,11,1,4,2,40,3,1
5,1,19,1,23,10,4,2,25,1,1
35,1,22,3,15,1,5,2,40,1,1
32,7,21,1,23,2,2,2,60,4,2
49,3,22,3,18,1,5,2,32,1,1
27,1,21,1,16,1,4,1,55,2,2
5,3,19,5,18,3,5,1,15,1,1
43,1,16,1,19,2,5,1,40,1,2
56,3,16,2,5,1,5,2,16,1,1
11,7,19,5,20,3,3,2,40,1,1
19,5,20,1,17,1,5,1,60,1,1
20,1,20,1,15,1,5,1,20,1,2
38,1,16,1,25,1,5,1,40,1,2
25,1,20,1,1,2,5,1,40,1,2
5,1,19,5,25,13,5,1,40,1,1
22,1,16,5,19,3,5,1,10,1,1
38,1,21,1,15,2,5,2,36,1,2
25,1,15,4,5,1,5,1,45,3,1
24,1,14,3,19,1,5,1,60,1,2
32,1,21,1,8,1,5,1,40,1,1
34,4,16,1,6,1,5,2,38,1,1
28,1,16,4,19,14,5,2,40,3,1
13,2,21,5,3,1,5,1,40,1,1
11,1,19,5,18,6,5,2,40,1,1
37,2,16,1,16,2,5,1,40,1,2
10,1,19,5,21,1,5,1,40,1,2
4,1,19,5,16,3,5,1,40,1,1
34,5,19,1,18,1,2,1,40,4,2
38,7,20,4,3,1,5,1,40,3,1
33,1,18,1,20,1,5,2,30,1,1
11,1,16,5,22,5,5,1,40,1,1
21,1,22,5,1,1,5,2,40,7,2
13,1,13,1,25,1,5,1,40,3,1
7,1,21,5,19,3,5,1,50,1,1
33,1,16,3,19,1,3,1,40,1,1
7,3,21,1,23,2,5,1,25,1,1
44,3,20,3,25,1,5,2,18,1,1
19,1,18,1,23,2,5,1,43,1,1
38,1,16,1,19,1,5,1,40,1,2
20,1,22,5,1,1,5,2,50,1,2
49,1,19,3,16,1,5,2,40,1,1
27,1,19,3,23,4,5,1,45,1,2
8,3,21,5,9,3,5,2,50,1,1
31,1,18,3,23,1,5,2,40,7,2
14,1,12,5,25,1,4,1,40,3,1
21,1,20,1,23,2,5,2,30,1,1
45,3,16,1,16,1,5,1,32,1,1
15,4,21,5,22,14,5,1,40,1,2
35,1,16,1,19,1,5,1,30,1,1
50,1,1,1,15,2,4,2,10,3,1
33,1,16,3,15,1,3,2,32,1,1
10,1,21,1,16,1,5,2,40,1,1
46,1,1,5,2,1,3,2,40,1,1
8,3,22,5,7,13,5,2,48,1,1
39,3,16,3,18,1,5,2,40,1,1
4,1,19,5,6,13,5,2,9,1,1
42,1,21,3,16,1,5,2,40,1,2
32,1,20,1,14,1,4,2,40,1,1
6,1,16,5,22,1,5,1,50,1,2
49,7,16,1,16,1,5,1,32,1,1
19,1,19,5,1,1,3,2,60,1,1
12,1,21,1,1,1,5,1,34,1,1
14,1,16,1,19,2,3,1,40,6,1
34,5,20,1,22,2,5,1,40,1,2
50,1,19,1,23,1,5,2,8,5,1
4,1,12,5,25,5,5,1,2,1,1
44,5,20,1,3,1,5,1,40,1,2
39,1,16,1,19,1,5,1,40,5,1
19,3,22,1,7,1,5,2,40,1,2
42,3,22,3,15,1,3,2,39,1,2
1,1,14,5,18,11,3,2,40,6,1
36,1,20,1,3,1,5,1,45,1,2
29,1,18,3,22,14,2,2,40,4,1
33,2,21,1,15,2,2,2,50,1,2
16,1,20,3,22,14,5,1,40,1,1
28,1,22,1,15,1,3,2,60,3,2
44,1,19,3,23,1,5,2,36,1,1
7,1,15,1,18,1,5,2,24,1,1
43,1,17,1,16,1,5,1,40,1,1
30,7,17,1,16,1,5,1,40,1,1
18,1,19,4,2,1,5,2,20,1,1
41,1,18,1,23,2,4,1,60,3,1
17,1,20,5,18,14,5,2,40,1,1
41,1,20,1,19,2,5,2,40,1,1
19,1,19,3,18,1,5,2,40,1,1
47,1,18,3,19,1,5,2,40,1,1
12,2,21,5,12,1,3,2,40,1,1
47,1,19,1,13,16,2,1,40,4,1
9,1,21,5,6,13,5,1,40,1,1
10,1,16,1,6,13,4,2,20,3,1
35,1,16,2,5,1,5,1,50,1,2
49,1,20,5,25,1,3,1,40,1,1
19,1,22,1,3,2,5,1,60,1,2
15,1,16,5,23,18,4,2,20,1,1
41,3,21,5,7,1,5,2,60,1,2
46,5,22,1,15,2,5,2,40,1,2
6,1,19,1,15,2,5,1,40,1,1
1,1,12,5,6,16,5,1,10,1,1
14,3,19,5,20,1,5,1,29,1,1
44,2,22,1,18,2,5,2,40,1,2
16,2,20,1,15,1,5,2,30,1,1
29,4,19,1,6,2,5,2,40,2,1
18,1,21,1,7,1,5,2,40,1,1
39,1,14,1,25,1,4,1,40,3,1
13,1,15,1,2,2,5,1,40,1,1
21,2,22,1,16,2,5,2,40,1,1
40,2,20,1,15,2,5,1,40,1,2
39,1,18,3,16,1,5,2,40,1,1
38,1,19,3,23,1,5,1,40,1,1
7,1,22,1,1,1,5,2,40,1,1
26,1,18,1,6,1,5,2,30,1,1
12,6,19,5,9,3,5,2,10,1,1
42,3,19,1,2,1,3,2,40,1,1
4,1,19,5,6,13,5,2,40,1,1
5,1,14,5,18,3,3,1,40,1,1
39,1,18,1,18,1,5,2,40,1,1
33,1,21,3,23,1,4,2,28,1,1
31,1,16,1,1,1,5,2,40,1,2
23,1,20,1,18,1,5,1,50,1,1
32,1,14,5,6,1,5,1,45,3,1
19,3,21,1,7,1,5,2,37,1,1
14,5,19,1,17,2,5,2,40,1,2
38,7,19,1,5,1,5,1,45,1,2
42,2,16,3,18,1,5,2,40,1,1
5,1,14,5,13,3,5,2,25,1,1
51,1,16,1,21,1,5,1,30,2,1
17,1,21,1,18,2,5,2,40,1,2
53,7,19,1,18,2,5,2,20,1,2
2,1,18,5,6,3,5,1,30,1,1
30,1,18,1,19,2,5,1,50,1,2
20,1,19,1,25,1,5,1,40,1,1
21,1,21,5,18,12,5,1,40,7,2
3,1,18,5,6,18,5,2,15,1,1
27,1,20,3,5,14,5,1,50,1,2
32,1,20,3,5,14,5,1,45,1,1
42,1,16,1,23,2,5,2,45,1,2
39,5,19,3,16,1,5,2,40,1,2
19,1,21,1,12,2,5,2,40,1,2
3,1,19,5,23,3,5,2,20,1,1
12,1,21,5,16,4,2,1,40,4,1
58,1,22,1,7,1,5,1,2,1,1
39,1,15,1,5,2,5,1,40,1,2
18,3,22,1,7,1,5,2,40,1,2
29,1,16,1,25,1,5,1,52,1,2
43,1,21,1,15,1,3,2,54,6,2
30,5,20,1,18,2,5,1,45,5,2
3,3,19,5,18,18,5,2,25,1,1
38,1,16,1,22,1,5,1,84,1,2
13,3,21,5,21,1,5,1,40,1,2
8,1,18,3,18,3,4,2,25,3,1
16,1,19,5,7,1,5,2,40,1,1
28,6,21,1,11,2,5,1,30,1,1
48,1,20,1,22,1,5,1,40,1,2
14,1,20,3,23,1,5,2,40,1,1
4,1,19,5,18,3,5,2,40,1,1
2,1,18,5,6,18,5,2,20,1,1
20,4,21,1,16,1,5,2,45,1,2
11,1,21,5,15,14,5,2,40,1,2
54,3,19,1,9,1,5,1,40,4,2
34,1,21,5,18,6,5,1,40,1,2
6,1,19,5,16,3,5,1,50,1,1
29,7,17,1,18,2,4,2,30,3,1
48,1,19,1,18,1,5,1,40,1,1
38,1,18,1,13,1,3,1,36,1,1
26,1,16,1,5,2,5,1,30,1,1
45,7,19,1,23,1,5,1,45,1,2
2,1,18,5,21,18,5,2,20,1,1
17,1,20,1,21,2,5,1,24,1,1
15,1,21,5,15,12,1,2,40,1,1
46,7,16,3,16,1,5,2,16,1,1
52,1,21,1,23,1,5,1,60,1,2
40,1,19,5,2,17,5,1,40,1,1
44,1,20,3,22,1,5,1,20,1,1
41,3,18,3,18,1,5,2,29,1,1
19,1,18,1,2,2,3,1,40,1,1
53,1,19,3,18,1,5,2,30,1,1
14,4,21,5,12,1,5,1,40,1,2
15,1,18,5,18,1,5,2,35,1,1
42,1,22,1,8,1,5,1,44,1,2
27,1,16,3,5,1,5,1,40,1,1
34,1,21,1,12,1,5,2,60,1,2
16,3,16,5,16,12,5,2,40,1,1
40,1,17,4,23,1,1,1,32,1,1
14,1,16,5,19,17,5,1,50,1,1
13,1,18,1,19,2,5,1,40,1,1
47,3,21,5,3,1,5,2,37,1,1
20,5,23,1,14,2,5,2,40,1,2
5,1,16,5,24,3,4,1,15,7,1
36,1,17,1,23,2,3,2,30,1,1
24,1,16,1,23,2,5,1,40,1,1
47,4,21,1,7,2,5,2,20,1,1
30,1,16,3,11,1,5,1,40,1,1
25,4,19,1,25,2,5,1,40,1,1
16,1,21,1,16,2,5,2,32,1,1
8,1,17,5,15,3,5,2,32,1,2
5,1,16,5,6,3,5,1,10,5,1
13,1,16,1,25,2,5,1,40,1,1
59,2,14,3,2,1,3,1,20,1,1
48,3,16,1,18,2,5,2,35,1,2
27,3,21,1,21,2,5,2,45,1,2
24,5,17,1,18,2,5,1,40,1,1
41,1,18,3,18,1,5,2,40,1,1
18,1,21,1,12,2,5,1,47,1,2
43,1,21,1,23,1,5,1,55,1,2
41,2,20,3,15,1,5,2,32,1,1
31,2,20,1,18,2,5,2,20,1,1
42,1,11,1,19,1,5,1,25,1,1
34,1,18,1,22,1,5,1,40,1,1
29,1,21,1,16,1,5,1,45,1,2
1,1,14,5,23,3,5,2,40,1,1
11,1,22,3,24,1,5,1,41,1,1
29,7,21,1,9,1,5,1,40,1,1
12,1,19,5,19,1,3,1,45,1,1
41,1,16,1,3,2,5,1,40,1,2
3,1,19,5,6,4,5,1,25,1,1
10,3,11,5,21,3,1,2,20,1,1
10,4,16,5,21,1,5,1,40,1,1
19,1,16,3,19,1,5,1,60,1,2
58,1,16,1,20,2,5,1,32,1,1
34,7,15,1,5,1,5,1,50,1,1
19,1,16,3,5,3,5,1,32,1,1
28,1,15,5,6,1,3,1,40,1,1
42,1,18,1,18,2,5,2,37,1,1
51,1,19,1,16,2,5,1,50,1,2
7,1,19,1,18,1,5,2,40,5,1
49,4,24,1,4,2,5,2,50,1,2
34,3,22,1,7,1,5,1,45,1,2
43,1,21,5,2,1,5,1,52,1,2
33,2,17,5,19,16,5,1,12,2,1
3,8,17,5,18,3,5,2,4,1,1
52,1,24,1,7,1,5,1,45,1,2
34,1,16,5,6,1,4,2,16,1,1
34,2,22,1,5,1,5,1,40,1,1
38,1,18,1,25,1,5,1,40,1,2
45,7,24,1,24,1,5,1,40,3,2
47,1,20,1,18,1,5,2,40,3,2
21,1,24,1,7,1,5,2,35,1,2
29,2,20,1,18,2,5,2,32,1,1
38,5,21,1,18,2,5,2,40,1,2
46,3,21,3,15,1,5,2,40,3,2
39,1,22,5,16,13,5,2,50,1,2
39,1,16,1,12,2,5,2,40,1,1
19,1,20,5,15,1,5,2,40,1,2
30,1,19,5,23,3,5,2,70,1,1
19,1,15,5,2,11,1,2,45,1,1
41,2,21,1,16,2,5,2,50,1,2
23,2,21,3,16,1,5,2,40,1,2
24,1,16,5,22,3,5,1,40,1,2
14,2,20,5,15,1,4,2,40,1,1
28,1,19,1,19,1,5,1,40,1,2
8,1,18,5,6,14,4,2,15,1,1
36,1,9,5,11,13,4,1,40,3,1
37,1,16,3,20,1,5,2,36,1,1
27,1,16,1,19,2,5,1,55,1,2
32,1,16,1,18,2,3,2,26,1,1
6,1,20,5,22,5,2,1,16,1,1
18,1,16,1,16,1,5,1,40,1,1
11,1,20,1,19,2,5,1,50,1,1
20,1,21,5,8,1,2,2,40,1,2
37,4,19,1,7,1,5,2,40,1,1
41,1,15,5,25,3,5,1,40,1,1
38,1,20,3,15,1,5,2,40,1,2
3,1,19,5,18,3,5,2,26,1,1
24,1,16,5,13,13,5,1,4,1,1
18,2,21,5,12,1,4,2,40,1,1
15,1,19,5,7,3,3,2,40,1,1
34,1,18,5,6,3,5,2,35,1,1
22,1,1,5,18,11,5,1,45,3,2
42,1,16,1,25,2,5,2,45,1,1
29,1,19,1,18,1,5,2,40,1,1
3,1,18,5,18,3,3,1,35,1,1
37,3,21,1,18,2,5,2,35,1,2
16,1,16,1,5,1,5,1,40,3,1
43,1,19,1,8,2,5,1,50,1,2
12,1,16,5,5,3,5,1,30,1,1
42,1,16,1,19,1,5,1,40,1,2
49,1,19,1,15,1,5,2,32,5,1
17,7,21,1,16,1,5,1,45,1,1
53,1,16,1,19,2,5,1,25,1,2
8,1,16,1,22,2,5,1,40,1,1
12,6,21,5,9,13,5,1,60,1,1
28,1,16,1,23,2,4,2,60,1,1
4,1,14,5,18,17,3,1,40,1,1
9,2,21,1,15,1,5,2,36,1,2
6,1,16,5,19,3,4,1,40,3,1
